,lat,lon,avg,std,spike,reduction
1,8.5,73.5,33.000063449558425,1.1725988833956904,36.5178600997455,29.482266799371352
5,8.5,76.5,32.26227825390625,1.1686002148218058,35.768078898371655,28.75647760944083
9,8.5,77.5,34.2008447486413,1.2221103615725362,37.86717583335891,30.534513663923693
13,8.5,78.5,34.24642363094429,1.3764249729411706,38.37569854976781,30.11714871212078
17,9.5,76.5,32.76851647911005,1.2870216114640172,36.629581313502115,28.907451644717998
21,9.5,77.5,33.08453002326766,1.2359912418991208,36.79250374896503,29.376556297570296
25,9.5,78.5,33.72497938298234,1.5990735638967524,38.522200074672604,28.927758691292084
29,9.5,79.5,35.00090397435462,1.7281157024400269,40.18525108167471,29.816556867034546
33,10.5,75.5,31.934643746773094,1.3181252088734725,35.88901937339352,27.98026812015268
37,10.5,76.5,30.92338746042799,1.3730217647500211,35.04245275467805,26.80432216617793
41,10.5,77.5,33.3478526953125,1.5158340176409966,37.89535474823549,28.80035064238951
45,10.5,78.5,36.14467054059104,1.7198955919478225,41.304357316434505,30.98498376474757
49,10.5,79.5,35.03711329449728,1.8735176979658308,40.65766638839477,29.41656020059979
53,11.5,72.5,32.25952850764266,1.1688535274058265,35.766089089860145,28.75296792542518
57,11.5,75.5,31.236116108355986,1.3367129850351702,35.2462550634615,27.22597715325047
61,11.5,76.5,31.74902819327446,1.4881414170264549,36.21345244435382,27.28460394219509
65,11.5,77.5,33.2405051934443,1.6030285080068438,38.04959071746483,28.43141966942377
69,11.5,78.5,36.74604465217392,1.7953079565611731,42.13196852185743,31.360120782490398
73,11.5,79.5,34.94172173488451,2.0066411665041106,40.96164523439684,28.921798235372176
77,12.5,74.5,32.14505430655571,1.3452660364224318,36.180852415823004,28.10925619728841
81,12.5,75.5,32.17441092476223,1.407395476339463,36.39659735378061,27.95222449574384
85,12.5,76.5,30.828002375849184,1.532430372918096,35.425293494603466,26.230711257094892
89,12.5,77.5,34.42970145567256,1.6505930125627208,39.38148049336072,29.477922417984395
93,12.5,78.5,35.78060415625,1.8288594562679732,41.26718252505392,30.294025787446078
97,12.5,79.5,36.28705962992528,2.2516625220058337,43.04204719594277,29.532072063907773
101,12.5,80.5,35.86859564011549,2.3587918061847897,42.94497105866985,28.792220221561127
105,13.5,74.5,32.36044081623641,1.3459850205509605,36.39839587788929,28.322485754583532
109,13.5,75.5,32.60218622214674,1.4612025037458063,36.985793733384156,28.218578710909323
113,13.5,76.5,33.54268640404212,1.6187204899145868,38.39884787378588,28.686524934298358
117,13.5,77.5,34.08097040268343,1.726892068783071,39.26164660903264,28.900294196334208
121,13.5,78.5,35.80841145737092,1.9196726037423868,41.56742926859808,30.049393646143766
125,13.5,79.5,36.675935016644026,2.2697608426550797,43.48521754460926,29.86665248867878
129,13.5,80.5,36.55206260190217,2.395125984213009,43.73744055454121,29.366684649263142
133,14.5,74.5,33.4756913235394,1.284734857257885,37.329895895313065,29.62148675176575
137,14.5,75.5,34.09032981351902,1.4941650094674406,38.572824841921346,29.607834785116697
141,14.5,76.5,34.641851942764944,1.682423673531531,39.68912296335954,29.59458092217035
145,14.5,77.5,36.66892273284647,1.8834966220189235,42.31941259890324,31.0184328667897
149,14.5,78.5,37.15715728294837,2.076976313542333,43.388086223575364,30.926228342321373
153,14.5,79.5,37.22176515455163,2.362097578787301,44.308057890913545,30.13547241818973
157,14.5,80.5,36.75026946365489,2.5713348002562544,44.464273864423646,29.036265062886123
161,15.5,73.5,33.31522521620245,1.2316224975631964,37.01009270889204,29.62035772351286
165,15.5,74.5,33.80503718868886,1.3179194057987074,37.75879540608498,29.851278971292736
169,15.5,75.5,35.70728281216033,1.5601674416246532,40.387785137034285,31.026780487286373
173,15.5,76.5,37.44940772146739,1.927599394502777,43.23220590497572,31.666609537959054
177,15.5,77.5,38.34914239538044,2.0494499472427794,44.49749223710879,32.2007925536521
181,15.5,78.5,38.70424779093071,2.2384142356062724,45.41949049774952,31.98900508411189
185,15.5,79.5,37.82489927411685,2.4609001074860766,45.20759959657508,30.44219895165861
189,15.5,80.5,36.73396898131476,2.656230215250268,44.70265962706557,28.76527833556396
193,16.5,73.5,33.71034255774457,1.2965712747434233,37.600056381974845,29.820628733514294
197,16.5,74.5,34.9154378938519,1.4197718004118645,39.1747532950875,30.65612249261631
201,16.5,75.5,36.544030904551626,1.8011414439531452,41.94745523641106,31.14060657269219
205,16.5,76.5,38.26550838468071,2.1433189828550745,44.69546533324593,31.83555143611548
209,16.5,77.5,38.31652888502038,2.286396261406012,45.17571766923842,31.45734010080235
213,16.5,78.5,38.369168340013594,2.388728283896586,45.53535319170335,31.202983488323827
217,16.5,79.5,37.81947199983016,2.562937899439909,45.50828569814989,30.130658301510444
221,16.5,80.5,36.93901571802277,2.655413870237826,44.90525732873624,28.972774107309288
225,16.5,81.5,36.54103960760999,2.5752173422077145,44.26669163423313,28.815387580986844
